BOTTLE,20001102WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original files copied from HTML directory: 2000.09.25
#original HYD file: a03hy.txt   Fri Oct 27 14:26:11 2000
#original SUM file: a03su.txt   Mon Sep 25 14:38:01 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
      RUCT40_1,   A03,     8,  1,     22,     22,2,19930924,1022, 36.2500,  -8.9010, 2629,    107.5,  16.2504,  36.3291,2,  36.3532,2,    219.3,2,     2.19,2,     0.04,2,     1.94,2,     0.25,2
      RUCT40_1,   A03,     8,  1,     21,     21,2,19930924,1022, 36.2500,  -8.9010, 2629,    202.2,  14.7571,  36.0981,3,  36.1098,2,    213.2,2,     3.65,2,     0.00,2,     5.54,2,     0.45,2
      RUCT40_1,   A03,     8,  1,     20,     20,2,19930924,1022, 36.2500,  -8.9010, 2629,    302.0,  13.1766,  35.8395,3,  35.8489,2,    210.6,2,     4.91,2,     0.00,2,     8.80,2,     0.62,2
      RUCT40_1,   A03,     8,  1,     19,     18,2,19930924,1022, 36.2500,  -8.9010, 2629,    402.3,  12.2200,  35.6902,2,  35.6944,2,    195.8,2,     5.95,2,     0.00,2,    11.04,2,     0.75,2
      RUCT40_1,   A03,     8,  1,     18,     19,2,19930924,1022, 36.2500,  -8.9010, 2629,    547.1,  11.1107,  35.5708,2,  35.5741,2,    197.6,2,     7.92,2,     0.00,2,    13.98,2,     0.94,2
      RUCT40_1,   A03,     8,  1,     17,     17,2,19930924,1022, 36.2500,  -8.9010, 2629,    699.5,  10.4715,  35.5962,3,  35.6120,2,    179.3,2,    11.06,2,     0.00,2,    16.92,2,     1.11,2
      RUCT40_1,   A03,     8,  1,     16,     16,2,19930924,1022, 36.2500,  -8.9010, 2629,    802.6,  10.5457,  35.7716,3,  35.7225,2,    179.2,2,    11.69,2,     0.00,2,    16.85,2,     1.15,2
      RUCT40_1,   A03,     8,  1,     15,     15,2,19930924,1022, 36.2500,  -8.9010, 2629,    919.9,  10.7705,  35.9645,2,  35.9645,2,    185.3,2,    11.60,2,     0.00,2,    15.61,2,     1.05,2
      RUCT40_1,   A03,     8,  1,     14,     14,2,19930924,1022, 36.2500,  -8.9010, 2629,   1005.9,  10.2742,  35.9340,2,  35.9334,2,    186.1,2,    12.24,2,  -999.00,5,    16.18,2,     1.09,2
      RUCT40_1,   A03,     8,  1,     13,     12,2,19930924,1022, 36.2500,  -8.9010, 2629,   1130.6,  10.2167,  36.0367,3,  36.0465,2,    186.9,2,    12.24,2,  -999.00,5,    15.57,2,     1.05,2
      RUCT40_1,   A03,     8,  1,     12,     13,2,19930924,1022, 36.2500,  -8.9010, 2629,   1194.5,  10.4960,  36.1539,3,  36.1614,2,    189.9,2,    11.69,2,  -999.00,5,    14.73,2,     0.99,2
      RUCT40_1,   A03,     8,  1,     11,     29,2,19930924,1022, 36.2500,  -8.9010, 2629,   1342.4,   9.1419,  35.9310,2,  35.9318,2,    210.0,2,    13.70,2,  -999.00,5,    16.04,2,     1.13,2
      RUCT40_1,   A03,     8,  1,     10,     10,2,19930924,1022, 36.2500,  -8.9010, 2629,   1446.5,   8.2703,  35.7882,2,  35.7884,2,    208.2,2,    14.81,2,  -999.00,5,    16.59,2,     1.13,2
      RUCT40_1,   A03,     8,  1,      9,      9,2,19930924,1022, 36.2500,  -8.9010, 2629,   1545.4,   7.3240,  35.6258,2,  35.6260,2,    217.3,2,    15.78,2,  -999.00,5,    17.43,2,     1.18,2
      RUCT40_1,   A03,     8,  1,      8,      8,2,19930924,1022, 36.2500,  -8.9010, 2629,   1694.1,   6.2846,  35.4504,2,  35.4510,2,    226.0,2,    17.95,2,  -999.00,5,    17.36,2,     1.20,2
      RUCT40_1,   A03,     8,  1,      7,      7,2,19930924,1022, 36.2500,  -8.9010, 2629,   1845.0,   5.4072,  35.3071,2,  35.3061,2,    232.1,2,    19.85,2,  -999.00,5,    17.57,2,     1.27,2
      RUCT40_1,   A03,     8,  1,      6,      6,2,19930924,1022, 36.2500,  -8.9010, 2629,   1993.7,   4.6868,  35.1947,2,  35.1942,2,    240.8,2,    21.53,2,  -999.00,5,    17.95,2,     1.30,2
      RUCT40_1,   A03,     8,  1,      5,      5,2,19930924,1022, 36.2500,  -8.9010, 2629,   2196.4,   3.9175,  35.0816,2,  35.0836,2,    246.4,2,    25.58,2,  -999.00,5,    18.53,2,     1.36,2
      RUCT40_1,   A03,     8,  1,      4,      4,3,19930924,1022, 36.2500,  -8.9010, 2629,   2316.3,   3.6382,  35.0443,2,  35.0432,2,    247.3,2,    27.65,2,  -999.00,5,    18.67,2,     1.36,2
      RUCT40_1,   A03,     8,  1,      3,      2,2,19930924,1022, 36.2500,  -8.9010, 2629,   2415.7,   3.4611,  35.0227,2,  35.0238,2,    249.0,2,    29.39,2,  -999.00,5,    18.66,2,     1.40,2
      RUCT40_1,   A03,     8,  1,      2,      3,2,19930924,1022, 36.2500,  -8.9010, 2629,   2516.5,   3.4009,  35.0155,2,  35.0140,2,    248.1,2,    30.81,2,  -999.00,5,    19.29,2,     1.38,2
      RUCT40_1,   A03,     8,  1,      1,      1,2,19930924,1022, 36.2500,  -8.9010, 2629,   2553.0,   3.3653,  35.0112,2,  35.0099,2,    248.9,2,    31.05,2,  -999.00,5,    19.03,2,     1.42,2
      RUCT40_1,   A03,     9,  1,     24,     24,2,19930924,1450, 36.2353,  -9.2707, 3842,     12.2,  21.2681,  36.6756,2,  36.6775,2,    228.0,2,     1.32,2,     0.00,2,     0.00,2,     0.03,2
      RUCT40_1,   A03,     9,  1,     23,     23,2,19930924,1450, 36.2353,  -9.2707, 3842,     93.6,  16.5113,  36.3431,2,  36.3582,2,    235.8,2,     1.66,2,     0.00,2,     0.00,2,     0.33,2
      RUCT40_1,   A03,     9,  1,     22,     22,2,19930924,1450, 36.2353,  -9.2707, 3842,    203.7,  14.7165,  36.1158,2,  36.1207,2,    217.1,2,     3.23,2,     0.00,2,     5.49,2,     0.44,2
